,Origin_Id,Origin Station Complex Name,Origin Latitude,Origin Longitude,Destination_Id,Destination Station Complex Name,Destination Latitude,Destination Longitude,Origin Point,Destination Point,Estimated_Total_Ridership
1684,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,378,Woodlawn (4),40.886037,-73.878751,POINT (-74.007838 40.710089),POINT (-73.878751 40.886037),3458.7629
1062,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,290,Classon Av (G),40.688873,-73.96007,POINT (-73.977359 40.751992),POINT (-73.96007 40.688873),3458.3545
848,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,459,40 St-Lowery St (7),40.743781,-73.924016,POINT (-74.007838 40.710089),POINT (-73.924016 40.743781),3453.1264
468,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,124,Montrose Av (L),40.707739,-73.93985,POINT (-74.007838 40.710089),POINT (-73.93985 40.707739),3414.6147
514,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,94,Halsey St (J),40.68637,-73.916559,POINT (-73.977359 40.751992),POINT (-73.916559 40.68637),3414.1048
612,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,84,85 St-Forest Pkwy (J),40.692435,-73.86001,POINT (-74.007838 40.710089),POINT (-73.86001 40.692435),3410.5831
1008,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,353,"President St-Medgar Evers College (2,5)",40.667883,-73.950683,POINT (-73.987581 40.755746),POINT (-73.950683 40.667883),3409.4468
322,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,421,"Gun Hill Rd (2,5)",40.87785,-73.866256,POINT (-73.977359 40.751992),POINT (-73.866256 40.87785),3405.9513
1502,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,352,New Lots Av (3),40.666235,-73.884079,POINT (-73.977359 40.751992),POINT (-73.884079 40.666235),3396.0187
777,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,383,183 St (4),40.858407,-73.903879,POINT (-73.987581 40.755746),POINT (-73.903879 40.858407),3385.463
1510,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,377,3 Av-138 St (6),40.810476,-73.926138,POINT (-74.007838 40.710089),POINT (-73.926138 40.810476),3379.6872
516,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,385,176 St (4),40.84848,-73.911794,POINT (-74.007838 40.710089),POINT (-73.911794 40.84848),3373.7395
1132,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,353,"President St-Medgar Evers College (2,5)",40.667883,-73.950683,POINT (-74.007838 40.710089),POINT (-73.950683 40.667883),3361.7988
1453,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,344,Kingston Av (3),40.669399,-73.942161,POINT (-74.007838 40.710089),POINT (-73.942161 40.669399),3361.6338
1527,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,448,Mets-Willets Point (7),40.754622,-73.845625,POINT (-74.007838 40.710089),POINT (-73.845625 40.754622),3353.7095
676,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,429,"Freeman St (2,5)",40.829993,-73.891865,POINT (-73.977359 40.751992),POINT (-73.891865 40.829993),3349.1585
465,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,41,"7 Av (B,Q)",40.67705,-73.972367,POINT (-74.007838 40.710089),POINT (-73.972367 40.67705),3341.5454
1564,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,353,"President St-Medgar Evers College (2,5)",40.667883,-73.950683,POINT (-73.977359 40.751992),POINT (-73.950683 40.667883),3336.3034000000002
1118,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,386,Mt Eden Av (4),40.844434,-73.914685,POINT (-74.007838 40.710089),POINT (-73.914685 40.844434),3331.3629
1736,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,433,"Jackson Av (2,5)",40.81649,-73.907807,POINT (-73.977359 40.751992),POINT (-73.907807 40.81649),3316.4895
667,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,378,Woodlawn (4),40.886037,-73.878751,POINT (-73.987581 40.755746),POINT (-73.878751 40.886037),3308.0839
1027,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,192,Rockaway Blvd (A),40.680429,-73.843853,POINT (-73.977359 40.751992),POINT (-73.843853 40.680429),3300.4455
603,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,46,Cortelyou Rd (Q),40.640927,-73.963891,POINT (-73.977359 40.751992),POINT (-73.963891 40.640927),3283.1658
1879,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,307,116 St-Columbia University (1),40.807722,-73.96411,POINT (-74.007838 40.710089),POINT (-73.96411 40.807722),3281.4595
701,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,47,"Newkirk Plaza (B,Q)",40.635082,-73.962793,POINT (-74.007838 40.710089),POINT (-73.962793 40.635082),3280.2753
2098,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,380,Bedford Park Blvd-Lehman College (4),40.873412,-73.890064,POINT (-74.007838 40.710089),POINT (-73.890064 40.873412),3273.6015
620,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,110,Forest Av (M),40.704423,-73.903077,POINT (-74.007838 40.710089),POINT (-73.903077 40.704423),3260.1441
727,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,360,Pelham Bay Park (6),40.852462,-73.828121,POINT (-74.007838 40.710089),POINT (-73.828121 40.852462),3258.6521
616,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,321,18 St (1),40.74104,-73.997871,POINT (-74.007838 40.710089),POINT (-73.997871 40.74104),3253.2344
1496,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,441,"Central Park North (110 St) (2,3)",40.799075,-73.951822,POINT (-74.007838 40.710089),POINT (-73.951822 40.799075),3244.0568
203,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,422,"Burke Av (2,5)",40.871356,-73.867164,POINT (-73.987581 40.755746),POINT (-73.867164 40.871356),3235.2814
556,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,293,Van Cortlandt Park-242 St (1),40.889248,-73.898583,POINT (-73.977359 40.751992),POINT (-73.898583 40.889248),3233.7352
826,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,93,"Chauncey St (J,Z)",40.682893,-73.910456,POINT (-74.007838 40.710089),POINT (-73.910456 40.682893),3230.8706
895,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,31,25 St (R),40.660397,-73.998091,POINT (-73.987581 40.755746),POINT (-73.998091 40.660397),3225.6925
252,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,308,Cathedral Pkwy (110 St) (1),40.803967,-73.966847,POINT (-74.007838 40.710089),POINT (-73.966847 40.803967),3225.6359
349,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,242,"Fort Hamilton Pkwy (F,G)",40.650782,-73.975776,POINT (-73.987581 40.755746),POINT (-73.975776 40.650782),3223.5087
617,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,348,Rockaway Av (3),40.662549,-73.908946,POINT (-74.007838 40.710089),POINT (-73.908946 40.662549),3208.6594
58,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,627,"Franklin Av (C,S)",40.680988,-73.956337,POINT (-73.977359 40.751992),POINT (-73.956337 40.680988),3197.5152
1036,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,30,Prospect Av (R),40.665414,-73.992872,POINT (-73.977359 40.751992),POINT (-73.992872 40.665414),3177.7742
246,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,155,"Cathedral Pkwy (110 St) (C,B)",40.800603,-73.958161,POINT (-73.977359 40.751992),POINT (-73.958161 40.800603),3133.6834
646,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,32,"36 St (D,N,R)",40.655144,-74.003549,POINT (-74.007838 40.710089),POINT (-74.003549 40.655144),3124.7738
1093,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,350,Pennsylvania Av (3),40.664635,-73.894895,POINT (-74.007838 40.710089),POINT (-73.894895 40.664635),3119.0721
705,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,241,"15 St-Prospect Park (F,G)",40.660365,-73.979493,POINT (-73.987581 40.755746),POINT (-73.979493 40.660365),3110.919
1622,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,427,"West Farms Sq-E Tremont Av (2,5)",40.840295,-73.880049,POINT (-73.977359 40.751992),POINT (-73.880049 40.840295),3102.0443
482,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,309,103 St (1),40.799446,-73.968379,POINT (-74.007838 40.710089),POINT (-73.968379 40.799446),3090.795
624,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,425,"Bronx Park East (2,5)",40.848828,-73.868457,POINT (-73.987581 40.755746),POINT (-73.868457 40.848828),3088.1129
760,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,259,"Kew Gardens-Union Tpke (E,F)",40.714441,-73.831008,POINT (-74.007838 40.710089),POINT (-73.831008 40.714441),3084.8012
1292,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,365,Castle Hill Av (6),40.834255,-73.851222,POINT (-74.007838 40.710089),POINT (-73.851222 40.834255),3059.907
156,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,68,Bay Pkwy (D),40.601875,-73.993728,POINT (-73.987581 40.755746),POINT (-73.993728 40.601875),3059.4533
23,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,261,"Forest Hills-71 Av (E,F,M,R)",40.721691,-73.844521,POINT (-74.007838 40.710089),POINT (-73.844521 40.721691),3058.7208
1286,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,99,"Lorimer St (M,J)",40.703869,-73.947408,POINT (-74.007838 40.710089),POINT (-73.947408 40.703869),3057.0071
1168,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,291,Clinton-Washington Avs (G),40.688089,-73.966839,POINT (-73.977359 40.751992),POINT (-73.966839 40.688089),3052.1403
354,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,297,215 St (1),40.869444,-73.915279,POINT (-73.987581 40.755746),POINT (-73.915279 40.869444),3051.5541
